i,lat,lon,name
26447,34.0489281,-111.0937311,Arizona
26447,,,
26447,38.5976262,-80.4549026,West Virginia
26447,35.4675602,-97.5164276,Oklahoma City
26447,48.8138999,2.344688,Gentilly
26447,39.1031182,-84.5120196,Cincinnati
26447,51.57424469999999,0.4856781,Essex
26447,18.3619475,-66.04249159999999,Taller Vía Láctea
26447,39.9611755,-82.99879419999999,Columbus
26447,3.509247,101.5248055,Selangor
26447,40.0583238,-74.4056612,New Jersey
26447,39.011902,-98.4842465,Kansas
26447,26.2378597,-80.1247667,Pompano Beach
26447,37.09024,-95.712891,United States
26447,41.2226633,-75.9080809,George M Morio Builder
26447,40.1992029,-74.6419386,Autism New Jersey Inc
26447,37.7749295,-122.4194155,San Francisco
26447,22.572646,88.36389500000001,Kolkata
26447,36.0348288,-86.8018257,CPR NashvilleTN
26447,38.885792,-77.01864599999999,Federal Emergency Management Agency
26447,32.7518526,-117.1458689,America's Finest City Investments
26447,-0.023559,37.906193,Kenya
26447,39.9525839,-75.1652215,Philadelphia
26447,55.378051,-3.435973,United Kingdom
26447,41.4459271,-74.42293409999999,Middletown
26447,53.7608608,-98.8138762,Manitoba
26447,37.8271784,-122.2913078,San Francisco Bay Area
26447,33.8839926,-84.51437609999999,Smyrna
26447,27.950575,-82.4571776,Tampa
26447,-14.235004,-51.92528,Brazil
26447,40.4167754,-3.7037902,Madrid
26447,,,
26447,36.1626638,-86.7816016,Nashville
26447,37.09024,-95.712891,United States
26447,43.15657789999999,-77.6088465,Rochester
26447,37.09024,-95.712891,United States
26447,38.9075065,-77.0381183,Embassy of the Republic of the Philippines in the United States
26447,40.434041,-79.9231187,Eighteen
26447,,,
26447,39.0321745,-77.423721,Forever 21
26447,27.6648274,-81.5157535,Florida
26447,,,
26447,45.515232,-122.6783853,Portland
26447,33.7369849,-118.0268911,Punishment Athletics
26447,33.6601033,-86.8127702,Gardendale
26447,35.0457984,-85.3093995,Chattanooga
26447,,,
26447,52.968716,-2.682045,Whitchurch
26447,44.3148443,-85.60236429999999,Michigan
26447,,,
26447,37.09024,-95.712891,United States
26447,31.9685988,-99.9018131,Texas
26447,,,
26447,,,
26447,,,
26447,38.928438,-77.0139607,Surf City Squeeze
26447,0.04052170000000001,-51.0560957,Macapá
26447,40.1484053,-79.8878254,Monessen
26447,,,
