i,lat,lon,name
32,,,
32,51.0316593,2.8639376,Diksmuide
32,42.9336427,-72.2814372,60 Winter St
32,40.6781784,-73.9441579,Brooklyn
32,40.7127753,-74.0059728,New York
32,40.7127753,-74.0059728,New York
32,34.0522342,-118.2436849,Los Angeles
32,25.7616798,-80.1917902,Miami
32,34.0522342,-118.2436849,Los Angeles
32,-33.8688197,151.2092955,Sydney
32,33.3489368,-96.5500467,Lihoudies Authentic Greek Cuisine & Bakery
32,53.23263439999999,-2.6103158,Cheshire
32,42.9336427,-72.2814372,60 Winter St
32,40.6984256,-73.9754896,Puerto Rico USA Import Inc
32,36.1886171,-94.13838589999999,Springdale
32,40.6781784,-73.9441579,Brooklyn
32,37.09024,-95.712891,United States
32,51.5072178,-0.1275862,London
32,51.454513,-2.58791,Bristol
32,41.4141172,-73.3035651,Newtown
32,40.6984256,-73.9754896,Puerto Rico USA Import Inc
32,25.7616798,-80.1917902,Miami
32,-33.8688197,151.2092955,Sydney
32,51.0316593,2.8639376,Diksmuide
32,40.354271,-78.4308209,The Milky Way
32,40.354271,-78.4308209,The Milky Way
32,41.4141172,-73.3035651,Newtown
32,38.9448013,-82.11125500000001,Cheshire
32,33.3489368,-96.5500467,Lihoudies Authentic Greek Cuisine & Bakery
32,37.09024,-95.712891,United States
32,51.5072178,-0.1275862,London
32,36.1886171,-94.13838589999999,Springdale
32,51.454513,-2.58791,Bristol
