i,lat,lon,name
126,56.130366,-106.346771,Canada
126,23.634501,-102.552784,Mexico
126,38.4075666,-85.37884679999999,La Grange
126,44.977753,-93.2650108,Minneapolis
126,47.6062095,-122.3320708,Seattle
126,56.130366,-106.346771,Canada
126,44.977753,-93.2650108,Minneapolis
126,39.7392358,-104.990251,Denver
126,43.1938516,-71.5723953,New Hampshire
126,41.1609285,-74.90933679999999,Delaware
126,,,
126,39.613321,-105.0166498,Littleton
126,42.2625932,-71.8022934,Worcester
126,40.2671941,-86.1349019,Indiana
126,39.0884368,-77.5247335,Metropolitan at Village at Leesburg
126,34.0194543,-118.4911912,Santa Monica
126,,,
126,42.2625932,-71.8022934,Worcester
126,38.1390082,13.3282235,Movimento Europeo Pace Giustizia e Libertá
126,34.165357,-118.6089752,Woodland Hills
126,30.375321,69.34511599999999,Pakistan
126,42.803649,-73.954472,Another World
126,38.4075666,-85.37884679999999,La Grange
126,,,
126,,,
126,36.204824,138.252924,Japan
126,37.09024,-95.712891,United States
126,37.8393332,-84.2700179,Kentucky
126,33.7728653,-84.37561389999999,669 Durant Pl NE
126,38.8121704,-77.04571,706 North
126,39.2037144,-76.86104619999999,Columbia
126,40.2671941,-86.1349019,Indiana
126,,,
126,34.0489281,-111.0937311,Arizona
126,52.2690328,-113.8114955,Red Deer
126,56.130366,-106.346771,Canada
126,42.803649,-73.954472,Another World
126,37.09024,-95.712891,United States
126,56.130366,-106.346771,Canada
126,33.7728653,-84.37561389999999,669 Durant Pl NE
126,47.6101497,-122.2015159,Bellevue
126,41.03398620000001,-73.7629097,White Plains
126,,,
126,39.7392358,-104.990251,Denver
126,39.9525839,-75.1652215,Philadelphia
126,,,
126,35.7795897,-78.6381787,Raleigh
126,,,
126,10.642707,-71.6125366,Maracaibo
126,,,
126,47.6062095,-122.3320708,Seattle
126,38.2526647,-85.7584557,Louisville
126,37.68717609999999,-97.33005299999999,Wichita
126,47.6101497,-122.2015159,Bellevue
126,29.7604267,-95.3698028,Houston
126,31.9685988,-99.9018131,Texas
126,37.09024,-95.712891,United States
126,39.613321,-105.0166498,Littleton
126,39.9247577,-75.1710464,Okie Dokie Donuts
126,30.42130899999999,-87.2169149,Pensacola
126,34.0522342,-118.2436849,Los Angeles
126,38.1390082,13.3282235,Movimento Europeo Pace Giustizia e Libertá
126,39.9525839,-75.1652215,Philadelphia
126,39.9525839,-75.1652215,Philadelphia
126,37.7103957,-80.9923144,Pluto
126,40.4172871,-82.90712300000001,Ohio
126,34.0522342,-118.2436849,Los Angeles
126,39.0884368,-77.5247335,Metropolitan at Village at Leesburg
126,19.883285,102.1387166,Luang Prabang
126,53.5460983,-113.4937266,Edmonton
126,44.801485,10.3279036,Parma
126,46.7297771,-117.1817377,Pullman
126,41.1609285,-74.90933679999999,Delaware
126,,,
126,37.8393332,-84.2700179,Kentucky
126,34.0522342,-118.2436849,Los Angeles
126,39.5500507,-105.7820674,Colorado
126,34.0489281,-111.0937311,Arizona
126,38.2526647,-85.7584557,Louisville
126,46.7297771,-117.1817377,Pullman
126,34.165357,-118.6089752,Woodland Hills
126,,,
126,,,
126,44.801485,10.3279036,Parma
126,10.642707,-71.6125366,Maracaibo
126,31.8393364,-103.1174774,Texas Moon
126,,,
126,12.865416,-85.207229,Nicaragua
126,23.634501,-102.552784,Mexico
126,42.4072107,-71.3824374,Massachusetts
126,52.2690328,-113.8114955,Red Deer
126,34.0522342,-118.2436849,Los Angeles
126,37.68717609999999,-97.33005299999999,Wichita
126,53.5460983,-113.4937266,Edmonton
126,39.2037144,-76.86104619999999,Columbia
126,37.09024,-95.712891,United States
126,39.5500507,-105.7820674,Colorado
126,36.204824,138.252924,Japan
126,19.883285,102.1387166,Luang Prabang
126,,,
126,31.9685988,-99.9018131,Texas
126,37.09024,-95.712891,United States
126,31.8393364,-103.1174774,Texas Moon
126,12.865416,-85.207229,Nicaragua
126,29.7604267,-95.3698028,Houston
126,37.09024,-95.712891,United States
126,38.8121704,-77.04571,706 North
126,43.1938516,-71.5723953,New Hampshire
126,39.9247577,-75.1710464,Okie Dokie Donuts
126,,,
126,35.7795897,-78.6381787,Raleigh
126,40.4172871,-82.90712300000001,Ohio
126,34.0522342,-118.2436849,Los Angeles
126,33.4483771,-112.0740373,Phoenix
126,30.375321,69.34511599999999,Pakistan
126,34.0194543,-118.4911912,Santa Monica
126,30.42130899999999,-87.2169149,Pensacola
126,34.0522342,-118.2436849,Los Angeles
126,,,
126,,,
126,37.7103957,-80.9923144,Pluto
126,33.4483771,-112.0740373,Phoenix
126,39.9525839,-75.1652215,Philadelphia
126,42.4072107,-71.3824374,Massachusetts
126,41.03398620000001,-73.7629097,White Plains
126,39.0039696,-77.4323924,Worldwide Goods
126,39.0039696,-77.4323924,Worldwide Goods
