,lat,lon,Location Name,Misinfo_Or_Books,Title
0,52.2671353,-1.4675216,Warwickshire,misinfo,civilWar
1,27.7676008,-82.64029149999999,St. Petersburg,misinfo,civilWar
2,14.0323336,38.3165725,Tigray,misinfo,civilWar
3,51.5072178,-0.1275862,London,misinfo,civilWar
4,40.6781784,-73.9441579,Brooklyn,misinfo,civilWar
5,40.7127753,-74.0059728,New York,misinfo,civilWar
6,,,,misinfo,civilWar
7,37.09024,-95.712891,United States,misinfo,civilWar
8,,,,misinfo,civilWar
9,46.729553,-94.6858998,Minnesota,misinfo,civilWar
10,13.4935504,39.465738,Mek'ele,misinfo,civilWar
11,39.768403,-86.158068,Indianapolis,misinfo,civilWar
12,32.9639664,-96.8513095,Country Square Dr,misinfo,civilWar
13,42.2081083,-79.4702461,Chautauqua Institution,misinfo,civilWar
14,51.5072178,-0.1275862,London,misinfo,civilWar
15,6.5243793,3.3792057,Lagos,misinfo,civilWar
16,55.953252,-3.188267,Edinburgh,misinfo,civilWar
17,28.1614046,-81.60174169999999,Davenport,misinfo,civilWar
18,37.9642529,-91.8318334,Missouri,misinfo,civilWar
19,40.8509333,-73.9701381,Fort Lee,misinfo,civilWar
20,53.81674229999999,-3.0370485,Blackpool,misinfo,civilWar
21,38.0293059,-78.47667810000002,Charlottesville,misinfo,civilWar
22,-37.8136276,144.9630576,Melbourne,misinfo,civilWar
23,29.7173941,-95.4018312,Rice University,misinfo,civilWar
24,40.7864871,-74.01074559999999,Western Union,misinfo,civilWar
25,38.98212970000001,-77.02695829999999,Olawale Osolo,misinfo,civilWar
26,39.0458073,-77.19195429999999,Good Earth Garden Market,misinfo,civilWar
27,40.7127753,-74.0059728,New York,misinfo,civilWar
28,37.09024,-95.712891,United States,misinfo,civilWar
29,39.1851445,-86.49965460000001,Monroe County,misinfo,civilWar
30,39.9375969,-76.9785892,East Berlin,misinfo,civilWar
31,39.0606468,-77.4775896,Ashburn Village Homeowners Association,misinfo,civilWar
32,40.7282239,-73.7948516,Queens,misinfo,civilWar
33,,,,misinfo,civilWar
34,34.0194543,-118.4911912,Santa Monica,misinfo,civilWar
35,36.778261,-119.4179324,California,misinfo,civilWar
36,40.5583739,-85.6591442,Marion,misinfo,civilWar
37,36.778261,-119.4179324,California,misinfo,civilWar
38,14.2861727,39.0163556,Yeha,misinfo,civilWar
39,60.47202399999999,8.468945999999999,Norway,misinfo,civilWar
40,,,,misinfo,civilWar
41,38.9020885,-77.0085405,999 North Capitol Parking,misinfo,civilWar
42,40.554887,-74.4642861,Piscataway,misinfo,civilWar
43,35.7595731,-79.01929969999999,North Carolina,misinfo,civilWar
44,33.8847361,-118.4109089,Manhattan Beach,misinfo,civilWar
45,,,,misinfo,civilWar
46,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
47,-31.6106578,-60.697294,Santa Fe,misinfo,civilWar
48,,,,misinfo,civilWar
49,40.7127753,-74.0059728,New York,misinfo,civilWar
50,40.718106,-73.8448469,Forest Hills,misinfo,civilWar
51,4.210484,101.975766,Malaysia,misinfo,civilWar
52,41.6032207,-73.087749,Connecticut,misinfo,civilWar
53,32.1656221,-82.9000751,Georgia,misinfo,civilWar
54,40.7127753,-74.0059728,New York,misinfo,civilWar
55,38.5815719,-121.4943996,Sacramento,misinfo,civilWar
56,39.1104194,-77.5478069,International Market,misinfo,civilWar
57,41.0560153,-73.54241549999999,University of Connecticut-Stamford Campus,misinfo,civilWar
58,40.46366700000001,-3.74922,Spain,misinfo,civilWar
59,39.5069974,-84.74523099999999,Oxford,misinfo,civilWar
60,37.09024,-95.712891,United States,misinfo,civilWar
61,41.3873974,2.168568,Barcelona,misinfo,civilWar
62,,,,misinfo,civilWar
63,40.6439398,-73.7819395,LATAM Airlines,misinfo,civilWar
64,43.1393867,-80.2644254,Brantford,misinfo,civilWar
65,37.09024,-95.712891,United States,misinfo,civilWar
66,36.2139814,-83.29489219999999,Morristown,misinfo,civilWar
67,34.0928092,-118.3286614,Hollywood,misinfo,civilWar
68,39.0457549,-76.64127119999999,Maryland,misinfo,civilWar
69,,,,misinfo,civilWar
70,32.3643098,-88.703656,Meridian,misinfo,civilWar
71,51.5072178,-0.1275862,London,misinfo,civilWar
72,41.5833736,-87.5001041,Northwest Indiana,misinfo,civilWar
73,42.2208698,-86.369469,Lake Michigan Beach,misinfo,civilWar
74,50.8476424,4.3571696,Brussels,misinfo,civilWar
75,58.3797283,12.3248032,Vänersborg,misinfo,civilWar
76,40.6781784,-73.9441579,Brooklyn,misinfo,civilWar
77,39.4137149,-76.9227562,Oklahoma,misinfo,civilWar
78,29.7066232,-96.5396933,Columbus,misinfo,civilWar
79,34.0522342,-118.2436849,Los Angeles,misinfo,civilWar
80,51.8642449,-2.238156,Gloucester,misinfo,civilWar
81,40.7127761,-74.0059544,New York Metropolitan Area,misinfo,civilWar
82,39.9525839,-75.1652215,Philadelphia,misinfo,civilWar
83,38.9071923,-77.0368707,Washington,misinfo,civilWar
84,42.3641892,-83.088481,Motown Museum,misinfo,civilWar
85,55.864237,-4.251806,Glasgow,misinfo,civilWar
86,,,,misinfo,civilWar
87,38.9071923,-77.0368707,Washington,misinfo,civilWar
88,32.715738,-117.1610838,San Diego,misinfo,civilWar
